@RELATION svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE features137 NUMERIC
@ATTRIBUTE features138 NUMERIC
@ATTRIBUTE class {./out/bal/Cough,./out/bal/Bell,./out/bal/Speech}

@DATA
0.043848,0.002892,2.345537,0.072366,0.068334,0.582511,0.000034,0.109740,-21.709987,0.803570,-0.881141,-1.124968,0.312421,-0.544435,-0.596272,-0.058217,0.185916,0.335470,-0.065012,-0.016925,0.045891,0.002851,0.001693,0.000759,0.000783,0.000699,0.000523,0.003431,0.002482,0.001758,0.001898,0.004919,0.001981,0.002363,0.000016,0.000017,0.026294,0.000302,0.000239,0.010113,-0.000002,0.001794,0.013648,-0.005169,0.004125,-0.007883,0.003978,-0.008270,0.007734,-0.005941,0.000965,-0.007499,-0.000125,-0.003127,0.000051,-0.000030,0.000007,-0.000028,0.000022,0.000004,-0.000022,0.000205,0.000004,0.000025,-0.000073,-0.000095,-0.000011,0.000051,0.003574,0.000608,0.226500,0.004744,0.012486,0.089848,0.000041,0.014361,0.349966,0.202193,0.186746,0.145382,0.120444,0.120692,0.072483,0.076418,0.100073,0.112977,0.110099,0.112289,0.080603,0.001136,0.000901,0.000324,0.000221,0.000208,0.000143,0.001781,0.001423,0.000688,0.001039,0.002042,0.000712,0.000726,0.001226,0.000327,0.238249,0.005185,0.016456,0.044150,0.000040,0.007797,0.276642,0.081479,0.136799,0.095152,0.063900,0.064151,0.046614,0.058771,0.065512,0.061045,0.059017,0.049333,0.041633,0.000862,0.000416,0.000216,0.000169,0.000126,0.000107,0.000787,0.000955,0.000496,0.000533,0.001394,0.000506,0.000466,57.142857,0.074627,./out/bal/Cough
0.119135,0.004582,1.711361,0.149963,0.156776,0.559566,0.000054,0.116099,-23.433894,0.624927,-1.083468,-0.391403,-0.527787,-0.239653,-0.409494,-0.142267,-0.028948,-0.192532,-0.007218,-0.059877,-0.128677,0.006748,0.002957,0.001530,0.003527,0.003849,0.001154,0.001508,0.001693,0.000873,0.000605,0.000606,0.005305,0.004661,-0.000448,0.000029,-0.056553,-0.000508,-0.000610,-0.005602,0.000000,-0.000522,0.030591,-0.017795,-0.011941,-0.006497,-0.007166,-0.010394,-0.010227,-0.007645,-0.003461,0.002366,0.006268,0.012655,0.001949,-0.000012,0.000002,-0.000004,-0.000006,0.000039,0.000013,-0.000002,0.000039,-0.000006,-0.000004,-0.000036,-0.000006,0.000001,0.010530,0.002210,0.436722,0.015630,0.012313,0.215187,0.000078,0.042037,0.890883,0.399809,0.334509,0.417998,0.176058,0.213346,0.175681,0.131968,0.151561,0.173742,0.269641,0.216978,0.170647,0.005168,0.001667,0.000988,0.002972,0.001632,0.001197,0.000694,0.001252,0.000540,0.000593,0.000597,0.005680,0.002711,0.003811,0.000629,0.283121,0.008217,0.008443,0.095500,0.000079,0.018060,0.349224,0.185244,0.140464,0.155271,0.098903,0.095163,0.095674,0.085678,0.090137,0.101200,0.090845,0.094997,0.083628,0.003344,0.001508,0.000789,0.001188,0.000786,0.000671,0.000582,0.000935,0.000407,0.000596,0.000420,0.003108,0.001388,120.000000,0.059259,./out/bal/Cough
0.113508,0.019061,2.756132,0.141597,0.112674,1.142530,0.000012,0.208811,-19.171971,0.578142,-0.816561,0.382239,0.165501,-0.757856,-0.103691,-0.146452,-0.194378,-0.183245,0.082679,-0.051430,-0.038052,0.001340,0.001650,0.002590,0.001164,0.001567,0.002670,0.001835,0.001155,0.000942,0.000896,0.000886,0.001370,0.001304,-0.000196,0.000046,0.026948,-0.000115,-0.000101,-0.002279,-0.000000,-0.000684,-0.000283,-0.001082,0.000357,0.003348,-0.001307,-0.003764,-0.003355,-0.001138,-0.004954,-0.002156,-0.002012,0.000101,0.003915,0.000008,0.000002,0.000000,0.000019,0.000022,-0.000015,-0.000029,-0.000019,0.000001,-0.000001,-0.000002,0.000005,-0.000009,0.006182,0.003630,0.155140,0.004430,0.004779,0.086859,0.000009,0.013154,0.326644,0.160715,0.142616,0.083422,0.100004,0.140383,0.068119,0.091631,0.073213,0.102290,0.086031,0.060553,0.060852,0.000553,0.000950,0.001059,0.000372,0.000592,0.001305,0.000841,0.000559,0.000326,0.000321,0.000362,0.000666,0.000476,0.001942,0.001263,0.144999,0.003109,0.006364,0.045328,0.000011,0.006664,0.113475,0.056967,0.055481,0.052480,0.044063,0.052038,0.033732,0.050228,0.038032,0.044342,0.039141,0.035266,0.030843,0.000348,0.000624,0.000728,0.000254,0.000377,0.000708,0.000521,0.000297,0.000220,0.000203,0.000217,0.000302,0.000294,150.000000,0.060606,./out/bal/Cough
0.190125,0.001318,1.252845,0.215069,0.196083,1.219263,0.000010,0.273249,-23.052651,1.663334,-0.196609,0.425848,0.328519,0.100575,-0.263078,-0.192495,-0.329294,-0.129706,-0.008808,-0.385022,0.165441,0.004708,0.003918,0.003640,0.003220,0.002602,0.002773,0.002434,0.003713,0.003374,0.002961,0.002588,0.003601,0.002104,0.000050,0.000014,0.074963,-0.000736,-0.000172,-0.009415,-0.000000,-0.002620,0.030084,0.005952,-0.002075,-0.002002,0.002453,0.001707,-0.002301,-0.003153,-0.002039,-0.001402,-0.001507,-0.002621,0.001848,0.000057,0.000057,0.000042,0.000014,-0.000003,0.000001,-0.000009,0.000002,0.000000,0.000002,0.000020,0.000027,0.000018,0.016122,0.000403,0.382326,0.021010,0.006773,0.263941,0.000022,0.062218,0.932396,0.289043,0.129759,0.138607,0.122448,0.087994,0.145770,0.118140,0.118691,0.070538,0.066825,0.090941,0.099857,0.002035,0.000986,0.000962,0.000836,0.000896,0.001080,0.000753,0.001710,0.001544,0.000950,0.000947,0.001079,0.000592,0.004213,0.000215,0.412277,0.011684,0.004430,0.145715,0.000026,0.030251,0.534502,0.176605,0.107613,0.088161,0.073438,0.052783,0.086367,0.070026,0.071659,0.042070,0.036846,0.047529,0.042096,0.001079,0.000637,0.000597,0.000546,0.000672,0.000828,0.000570,0.001065,0.000653,0.000687,0.000876,0.000738,0.000397,80.000000,0.074074,./out/bal/Cough
0.066252,0.042541,3.135847,0.180468,0.186045,0.604519,0.000022,0.097611,-18.500667,1.482481,-0.105532,0.668914,0.091547,0.247387,0.092556,0.283479,0.339847,-0.016487,0.175668,-0.258025,-0.014591,0.000813,0.001022,0.001178,0.001315,0.000923,0.001305,0.000436,0.001195,0.001348,0.001799,0.001594,0.000734,0.000906,0.000126,0.000237,-0.008896,0.000038,0.000151,0.000017,-0.000000,-0.002098,0.017305,-0.001066,-0.007409,0.004195,-0.005669,0.002856,0.003147,0.006043,-0.000017,-0.001704,-0.001110,-0.001260,-0.001169,0.000016,0.000030,0.000010,0.000000,-0.000034,0.000029,-0.000000,-0.000014,-0.000011,-0.000057,0.000009,-0.000015,0.000010,0.006976,0.004092,0.080969,0.013000,0.009080,0.068706,0.000015,0.018930,0.401475,0.177132,0.243931,0.194331,0.123170,0.096788,0.100173,0.111274,0.103927,0.157499,0.107982,0.153817,0.117151,0.000234,0.000323,0.000568,0.000707,0.000475,0.000681,0.000184,0.000424,0.000549,0.000638,0.000617,0.000371,0.000200,0.002896,0.001684,0.063253,0.007075,0.005438,0.034787,0.000017,0.009996,0.145842,0.073929,0.093133,0.068510,0.049673,0.059292,0.060627,0.053010,0.052294,0.059695,0.056599,0.069247,0.056577,0.000143,0.000153,0.000417,0.000460,0.000520,0.000507,0.000197,0.000357,0.000438,0.000531,0.000442,0.000211,0.000157,120.000000,0.086957,./out/bal/Cough
0.122017,0.002457,2.505942,0.238986,0.210724,1.091694,0.000041,0.226429,-28.273776,1.338284,-0.133698,-0.327189,-0.482836,0.380432,-0.076699,-0.124555,-0.148759,-0.016539,0.094515,-0.010166,0.082939,0.001385,0.001000,0.001526,0.008417,0.001437,0.002305,0.000987,0.001996,0.001127,0.001092,0.001301,0.001218,0.003289,-0.000066,0.000031,0.018777,-0.002813,-0.002910,-0.010838,-0.000040,-0.001441,0.017965,-0.006748,0.006903,-0.043271,-0.062851,-0.005708,0.004597,-0.033027,0.008753,0.013101,0.012036,0.011299,0.020671,-0.000015,-0.000011,-0.000187,0.002672,0.000059,-0.000015,-0.000011,-0.000009,-0.000003,-0.000003,-0.000000,-0.000010,0.000738,0.013729,0.001271,0.404091,0.012666,0.006239,0.254215,0.000033,0.061230,1.266190,0.274855,0.239849,0.225755,0.177183,0.112460,0.181395,0.162580,0.124742,0.136975,0.091938,0.082159,0.073162,0.000677,0.000591,0.000687,0.001380,0.000460,0.000866,0.000715,0.001166,0.000703,0.000564,0.000790,0.000678,0.000693,0.003041,0.000503,0.196356,0.006558,0.002756,0.101638,0.000029,0.022872,0.373482,0.117816,0.084744,0.086359,0.093167,0.058994,0.096623,0.073616,0.060469,0.079330,0.083333,0.045909,0.044722,0.000396,0.000548,0.000695,0.001015,0.000492,0.000637,0.000709,0.000687,0.000678,0.000354,0.000358,0.000237,0.000481,52.173913,0.111111,./out/bal/Cough
0.156789,0.003706,1.910570,0.178682,0.177861,0.908097,0.000030,0.175765,-26.597016,1.019530,-0.417619,-0.241603,-0.579512,-0.000779,-0.166572,-0.082856,-0.052945,-0.208911,-0.150860,-0.169206,-0.062979,0.004567,0.002992,0.002274,0.001658,0.001585,0.001212,0.001683,0.001391,0.001098,0.001803,0.004134,0.007606,0.002983,0.000133,0.000000,-0.015461,-0.000125,-0.000174,-0.000849,-0.000001,-0.000282,0.023553,0.006586,0.005284,-0.003647,0.000766,-0.003976,0.002238,-0.000984,-0.003775,-0.002506,-0.000362,-0.002555,-0.002918,0.000099,-0.000010,-0.000002,0.000014,0.000003,-0.000003,0.000005,-0.000007,-0.000003,-0.000034,0.000065,0.000182,0.000052,0.021935,0.001066,0.416294,0.025232,0.011047,0.251850,0.000052,0.049827,1.293026,0.254598,0.237869,0.146381,0.162324,0.148988,0.113168,0.169081,0.141302,0.128792,0.118410,0.146119,0.094289,0.001536,0.001455,0.001528,0.000748,0.000821,0.000703,0.000950,0.000751,0.000573,0.000910,0.001396,0.002475,0.000853,0.004110,0.000668,0.241859,0.013950,0.007533,0.149331,0.000068,0.034124,0.379650,0.154453,0.122063,0.091936,0.102617,0.078504,0.059187,0.077935,0.084141,0.067449,0.072809,0.076281,0.049922,0.001192,0.001206,0.001061,0.000623,0.000417,0.000518,0.000459,0.000483,0.000396,0.000471,0.000701,0.001213,0.000500,300.000000,0.114943,./out/bal/Cough
0.085292,0.017710,2.833160,0.194628,0.190161,0.962083,0.000013,0.155123,-19.575768,0.153839,-1.432954,-0.456179,-0.389781,-0.238480,-0.344608,-0.386651,-0.377719,-0.160834,-0.132000,0.007751,0.032297,0.001499,0.001472,0.001207,0.001912,0.002872,0.003793,0.004385,0.002398,0.002267,0.001541,0.001448,0.001308,0.002783,0.000161,-0.000064,-0.018167,0.000171,0.000032,0.000913,-0.000000,0.000332,-0.016315,-0.013835,-0.011175,-0.002637,0.005404,0.005081,0.008896,0.004971,0.001733,-0.004371,-0.011998,-0.014793,-0.015083,0.000014,0.000029,-0.000001,0.000001,-0.000012,-0.000059,-0.000020,-0.000011,0.000061,0.000040,-0.000005,-0.000027,0.000010,0.007511,0.003428,0.162465,0.007344,0.001732,0.170105,0.000007,0.024669,0.486287,0.202710,0.212963,0.143418,0.130907,0.107138,0.123529,0.109248,0.146675,0.096889,0.137041,0.113862,0.088517,0.000510,0.000568,0.000643,0.000705,0.001296,0.002340,0.002128,0.001010,0.001036,0.000621,0.000687,0.000678,0.000969,0.001537,0.000982,0.099414,0.002399,0.002171,0.049397,0.000008,0.008720,0.139868,0.099479,0.078082,0.068839,0.068502,0.056049,0.059936,0.053643,0.058572,0.054498,0.055652,0.052093,0.042229,0.000303,0.000351,0.000303,0.000534,0.001091,0.000958,0.001373,0.000671,0.000487,0.000342,0.000412,0.000343,0.000499,300.000000,0.088608,./out/bal/Cough
0.027053,0.007131,1.764881,0.078550,0.080863,0.242339,0.000081,0.052614,-23.357854,-0.774940,-2.365048,-0.427356,0.641836,0.117460,0.622771,0.027440,-0.412074,0.170791,-0.303008,-0.047215,0.055679,0.001422,0.001361,0.002467,0.001268,0.002922,0.002645,0.003057,0.001901,0.002835,0.003550,0.000753,0.000301,0.002731,0.000132,-0.000001,-0.014729,-0.000530,-0.001680,-0.002410,0.000001,0.001946,0.021711,0.004219,0.000472,0.001891,-0.011512,0.003868,0.005982,0.010098,0.016536,-0.011214,-0.004050,-0.007111,0.006136,-0.000056,0.000545,0.000101,-0.000070,-0.000361,0.000352,-0.000033,-0.000054,-0.000041,-0.000005,-0.000001,-0.000005,0.000057,0.003166,0.001494,0.245929,0.009219,0.017555,0.051054,0.000128,0.003178,0.543801,0.406100,0.416054,0.449154,0.288185,0.312824,0.263629,0.287829,0.232447,0.254026,0.204681,0.195067,0.136414,0.000758,0.000303,0.001141,0.000903,0.001475,0.000868,0.001558,0.000974,0.001354,0.001666,0.000354,0.000136,0.000672,0.001342,0.000704,0.231146,0.007310,0.017082,0.026634,0.000133,0.002652,0.409398,0.315918,0.251522,0.226710,0.158711,0.158862,0.176816,0.169228,0.139236,0.143518,0.109827,0.101400,0.088186,0.000382,0.000262,0.000611,0.000719,0.000956,0.000690,0.001126,0.000781,0.001332,0.001396,0.000294,0.000089,0.000582,600.000000,0.073333,./out/bal/Cough
0.070493,0.008051,1.983319,0.075032,0.064114,0.487463,0.000026,0.100353,-20.685367,-0.178469,-0.737424,0.058630,-0.421076,-0.242494,-0.048011,0.047683,-0.021704,0.055315,-0.050290,-0.101632,-0.174019,0.002279,0.001164,0.001108,0.001195,0.001541,0.002181,0.001329,0.001250,0.000967,0.001453,0.001692,0.001563,0.001022,-0.000132,-0.000026,-0.035181,-0.000062,-0.000015,-0.000346,0.000000,-0.000023,-0.001375,0.006409,-0.002317,-0.004055,0.000963,-0.000492,0.001961,0.001209,-0.000412,0.000589,0.000471,-0.000580,0.000586,-0.000002,-0.000006,0.000009,0.000004,0.000005,0.000017,0.000003,-0.000015,-0.000002,-0.000004,-0.000012,-0.000001,-0.000001,0.001549,0.002884,0.369447,0.006875,0.016273,0.098063,0.000039,0.008685,0.470541,0.264071,0.161134,0.140268,0.157186,0.126772,0.114072,0.085651,0.094014,0.093176,0.070463,0.064943,0.052730,0.001167,0.000451,0.000423,0.000386,0.000522,0.001152,0.000577,0.000373,0.000495,0.000659,0.000574,0.000496,0.000416,0.000652,0.001255,0.295378,0.008613,0.022113,0.057395,0.000047,0.005680,0.217480,0.126999,0.081601,0.071694,0.071248,0.048385,0.054739,0.045211,0.048346,0.047295,0.041155,0.032094,0.032408,0.000612,0.000309,0.000272,0.000300,0.000424,0.000564,0.000331,0.000293,0.000333,0.000414,0.000363,0.000370,0.000247,133.333333,0.105263,./out/bal/Cough
0.083837,0.020419,2.395520,0.194287,0.171280,0.860833,0.000114,0.131334,-25.088572,-1.387689,-0.428697,-0.463180,-0.505372,0.610628,0.061695,-0.621209,0.911703,0.642834,0.163352,-0.071211,-0.369384,0.000980,0.000156,0.000021,0.000013,0.000010,0.000012,0.000296,0.000023,0.004481,0.000043,0.000039,0.001219,0.001583,0.000258,0.000049,-0.014872,-0.000460,-0.000723,0.004637,-0.000000,0.000582,0.028229,-0.008565,0.007994,0.002111,-0.005725,0.001627,0.002658,-0.006347,-0.005195,-0.007442,-0.005271,-0.005134,-0.008436,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000005,-0.000000,-0.000130,0.000000,0.000000,-0.000001,-0.000033,0.006641,0.009496,0.367062,0.011946,0.011528,0.160151,0.000248,0.014610,1.260202,0.332617,0.228839,0.174882,0.240470,0.180075,0.109510,0.154222,0.101159,0.114191,0.109430,0.082878,0.078132,0.001688,0.000130,0.000014,0.000006,0.000006,0.000007,0.000077,0.000013,0.003831,0.000026,0.000028,0.000783,0.001052,0.001515,0.002197,0.296018,0.006369,0.007587,0.106869,0.000334,0.007978,0.644570,0.254303,0.203843,0.154652,0.132637,0.109772,0.082180,0.103582,0.105399,0.107280,0.084428,0.082825,0.069326,0.000948,0.000053,0.000012,0.000005,0.000005,0.000007,0.000047,0.000012,0.001642,0.000024,0.000023,0.000955,0.000598,400.000000,0.125786,./out/bal/Bell
0.015401,0.011820,3.154283,0.071229,0.132628,0.005453,0.000285,0.018999,-27.037948,2.799434,-0.841354,-0.460143,-0.932255,-0.192160,-0.015474,0.086466,0.124919,-0.092669,-0.307485,-0.085467,0.114277,0.000119,0.001291,0.000093,0.017958,0.000138,0.006238,0.000075,0.000027,0.000036,0.000038,0.000102,0.005108,0.006647,0.000038,-0.000004,-0.000408,0.003000,0.007165,0.000251,0.000005,0.000010,0.024049,-0.007905,0.012599,0.004403,0.010985,0.000715,0.004804,-0.004005,-0.002655,-0.002273,0.000709,-0.005066,-0.000057,-0.000020,0.000154,0.000008,0.000025,0.000009,0.000004,0.000002,-0.000000,-0.000002,-0.000002,0.000001,-0.000012,0.000009,0.000571,0.004323,0.156017,0.012507,0.026067,0.002693,0.000478,0.001315,0.571546,0.260092,0.231304,0.157606,0.111126,0.102373,0.089281,0.068165,0.057799,0.085033,0.075090,0.092846,0.071426,0.000152,0.000963,0.000068,0.004082,0.000051,0.001692,0.000117,0.000052,0.000031,0.000040,0.000155,0.002238,0.001400,0.000072,0.000380,0.080458,0.014842,0.032272,0.002498,0.000862,0.000906,0.463557,0.244349,0.221096,0.152308,0.129835,0.108520,0.081799,0.062293,0.057646,0.082251,0.080329,0.087803,0.080890,0.000171,0.000708,0.000106,0.001358,0.000044,0.000852,0.000096,0.000090,0.000027,0.000048,0.000205,0.001265,0.000578,400.000000,0.148571,./out/bal/Bell
0.060214,0.047462,3.281819,0.094347,0.121267,0.345183,0.000045,0.079067,-18.407499,1.138777,-0.738357,0.177051,-0.370787,0.016672,-0.371314,-0.226567,0.055823,-0.166582,-0.175263,-0.309679,0.350836,0.000267,0.000173,0.000145,0.000754,0.000178,0.000653,0.000120,0.000182,0.000073,0.000124,0.000132,0.000468,0.000354,-0.000094,-0.000402,0.000081,-0.000014,0.000132,0.000980,0.000000,0.000122,0.002884,0.002239,-0.004093,-0.004323,-0.001057,0.002570,0.003604,0.001751,0.000365,-0.000554,-0.000042,0.000509,0.000380,0.000005,-0.000014,0.000021,0.000020,0.000014,0.000028,-0.000005,-0.000014,-0.000002,0.000002,-0.000010,-0.000018,0.000006,0.003578,0.003829,0.012849,0.004427,0.008863,0.032664,0.000009,0.003814,0.083481,0.068931,0.078839,0.050504,0.062666,0.055004,0.075207,0.074399,0.101276,0.089688,0.107639,0.049696,0.039460,0.000115,0.000080,0.000055,0.000299,0.000104,0.000389,0.000065,0.000082,0.000031,0.000075,0.000053,0.000301,0.000124,0.001335,0.000894,0.009054,0.005026,0.011839,0.010951,0.000011,0.001803,0.040246,0.033454,0.034900,0.036271,0.037888,0.037326,0.031081,0.031036,0.035929,0.036546,0.036204,0.031418,0.028308,0.000119,0.000106,0.000060,0.000223,0.000147,0.000316,0.000078,0.000080,0.000038,0.000049,0.000064,0.000219,0.000106,75.000000,0.082278,./out/bal/Bell
0.046779,0.036426,3.083351,0.089024,0.105078,0.431842,0.000069,0.088154,-20.176931,1.089131,-0.359256,0.127149,0.014855,0.666125,0.185427,-0.310136,0.048269,0.327408,0.390800,0.136376,-0.101733,0.000058,0.000051,0.001002,0.002494,0.000121,0.000216,0.000220,0.000187,0.000504,0.000110,0.000166,0.000856,0.000782,0.000079,0.000143,0.002963,-0.000239,-0.000967,0.002237,-0.000002,-0.000080,0.000536,-0.007103,-0.002184,0.003900,0.003305,0.003035,0.001280,-0.005228,-0.000953,0.001805,0.005044,-0.000696,-0.002107,-0.000005,-0.000001,0.000027,0.000012,-0.000011,-0.000008,0.000015,0.000001,-0.000008,0.000003,0.000003,-0.000009,0.000003,0.004797,0.006380,0.085285,0.006231,0.012605,0.083857,0.000067,0.012795,0.448624,0.327335,0.091514,0.061048,0.063751,0.076143,0.115352,0.096494,0.069447,0.081204,0.059614,0.114025,0.111069,0.000026,0.000019,0.000447,0.001209,0.000056,0.000091,0.000110,0.000103,0.000269,0.000040,0.000062,0.000316,0.000313,0.000872,0.001424,0.038613,0.006936,0.017709,0.023957,0.000080,0.005571,0.197804,0.168530,0.044700,0.049079,0.048749,0.041126,0.046461,0.047916,0.037428,0.041500,0.041341,0.060057,0.054838,0.000026,0.000021,0.000241,0.000393,0.000056,0.000061,0.000106,0.000074,0.000086,0.000038,0.000065,0.000122,0.000105,171.428571,0.102190,./out/bal/Bell
0.042583,0.008423,3.100479,0.088743,0.098377,0.326089,0.000104,0.084850,-22.709975,0.133100,-0.681909,0.131482,-0.218782,-0.770225,-0.603442,0.149967,0.701941,0.514224,0.220977,0.214496,-0.561903,0.000143,0.000077,0.000522,0.000033,0.001149,0.000040,0.000063,0.000756,0.001964,0.000040,0.000678,0.000092,0.000815,0.000023,-0.000018,-0.003502,0.000595,0.002517,-0.002217,-0.000000,0.000182,-0.006595,0.005724,-0.002818,0.005927,0.000602,0.006410,-0.002622,0.000477,0.002973,0.002235,0.005793,-0.009906,0.000677,-0.000002,-0.000001,-0.000004,-0.000000,-0.000001,0.000001,-0.000001,0.000019,0.000025,-0.000002,-0.000001,-0.000001,0.000006,0.007910,0.001680,0.115432,0.009656,0.017811,0.137185,0.000133,0.021079,0.670815,0.420391,0.123388,0.093488,0.178449,0.132372,0.074923,0.083075,0.078656,0.082471,0.067293,0.065212,0.090446,0.000087,0.000046,0.000313,0.000013,0.000557,0.000016,0.000037,0.000468,0.000459,0.000020,0.000298,0.000049,0.000195,0.001077,0.000444,0.055095,0.009544,0.023579,0.038002,0.000183,0.007979,0.249004,0.169284,0.087873,0.074374,0.078112,0.069675,0.075609,0.062679,0.085887,0.075855,0.057583,0.051705,0.059957,0.000078,0.000051,0.000179,0.000012,0.000273,0.000013,0.000028,0.000298,0.000176,0.000027,0.000173,0.000067,0.000092,171.428571,0.114504,./out/bal/Bell
